,parameters,validation_mse_loss,iterations,epochs
gru_attn-vanilla,922178,0.07623783499002457,3120,30
lstm_attn-vanilla,926966,0.09984664618968964,3120,30
gru_slim3,925770,0.10237041860818863,3120,30
lstm_slim3,926667,0.10807079821825027,3120,30
lstm_nog,927246,0.12720194458961487,3120,30
gru_mut3,927246,0.12932291626930237,3120,30
gru_vanilla,925410,0.129495769739151,3120,30
gru_slim1,926130,0.12983323633670807,3120,30
lstm_nigaf,927762,0.12999360263347626,3120,30
lstm_nfgaf,927762,0.1322389543056488,3120,30
lstm_nogaf,927762,0.13295292854309082,3120,30
lstm_nig,927246,0.13308168947696686,3120,30
lstm_vanilla,927762,0.13395974040031433,4160,40
gru_slim2,924714,0.13417194783687592,3120,30
lstm_slim1,925607,0.14150622487068176,3640,35
lstm_slim2,923729,0.1505502462387085,3120,30
lstm_nfg,927246,0.15275585651397705,3120,30
